player_display,first,last,suffix,position,nfl_team,name_key,source,adp_value,adp_min,adp_max,adp_n,as_of,adp_rank,adp_usable_for_survival
"Gibbs, Jahmyr",Jahmyr,Gibbs,,RB,DET,jahmyr gibbs,NFFC,1.09,1,3,97,2026-08-31,1.0,True
"Robinson, Bijan",Bijan,Robinson,,RB,ATL,bijan robinson,NFFC,2.02,1,3,97,2026-08-31,2.0,True
"Chase, Ja'Marr",Ja'Marr,Chase,,WR,CIN,jamarr chase,NFFC,3.12,2,5,97,2026-08-31,3.0,True
"Nacua, Puka",Puka,Nacua,,WR,LAR,puka nacua,NFFC,5.01,3,12,97,2026-08-31,4.0,True
"Smith-Njigba, Jaxon",Jaxon,Smith-Njigba,,WR,SEA,jaxon smith njigba,NFFC,5.52,1,10,97,2026-08-31,5.0,True
"St. Brown, Amon-Ra",Amon-Ra,St. Brown,,WR,DET,amon ra st brown,NFFC,6.14,4,13,97,2026-08-31,6.0,True
"McCaffrey, Christian",Christian,McCaffrey,,RB,SF,christian mccaffrey,NFFC,8.06,3,18,97,2026-08-31,7.0,True
"Taylor, Jonathan",Jonathan,Taylor,,RB,IND,jonathan taylor,NFFC,8.59,4,16,97,2026-08-31,8.0,True
"Cook III, James",James,Cook,III,RB,BUF,james cook,NFFC,8.71,2,14,97,2026-08-31,9.0,True
"Lamb, CeeDee",CeeDee,Lamb,,WR,DAL,ceedee lamb,NFFC,11.05,7,18,97,2026-08-31,10.0,True
"Jefferson, Justin",Justin,Jefferson,,WR,MIN,justin jefferson,NFFC,11.63,7,19,97,2026-08-31,11.0,True
"Brown, Chase",Chase,Brown,,RB,CIN,chase brown,NFFC,11.77,7,16,97,2026-08-31,12.0,True
"Hampton, Omarion",Omarion,Hampton,,RB,LAC,omarion hampton,NFFC,14.77,5,21,97,2026-08-31,13.0,True
"Walker III, Kenneth",Kenneth,Walker,III,RB,KC,ken walker,NFFC,15.54,8,22,97,2026-08-31,14.0,True
"Brown, A.J.",A.J.,Brown,,WR,NE,aj brown,NFFC,15.88,9,26,97,2026-08-31,15.0,True
"Barkley, Saquon",Saquon,Barkley,,RB,PHI,saquon barkley,NFFC,16.08,6,22,97,2026-08-31,16.0,True
"Achane, De'Von",De'Von,Achane,,RB,MIA,devon achane,NFFC,16.22,7,23,97,2026-08-31,17.0,True
"London, Drake",Drake,London,,WR,ATL,drake london,NFFC,20.43,8,30,97,2026-08-31,18.0,True
"Bowers, Brock",Brock,Bowers,,TE,LV,brock bowers,NFFC,21.13,12,28,97,2026-08-31,19.0,True
"Henry, Derrick",Derrick,Henry,,RB,BAL,derrick henry,NFFC,21.58,13,34,97,2026-08-31,20.0,True
"Pickens, George",George,Pickens,,WR,DAL,george pickens,NFFC,21.6,1,31,97,2026-08-31,21.0,True
"Jeanty, Ashton",Ashton,Jeanty,,RB,LV,ashton jeanty,NFFC,21.85,2,131,96,2026-08-31,22.0,True
"Collins, Nico",Nico,Collins,,WR,HOU,nico collins,NFFC,22.75,12,30,97,2026-08-31,23.0,True
"Olave, Chris",Chris,Olave,,WR,NO,chris olave,NFFC,22.95,14,41,97,2026-08-31,24.0,True
"Nabers, Malik",Malik,Nabers,,WR,NYG,malik nabers,NFFC,24.21,13,35,97,2026-08-31,25.0,True
"Smith, DeVonta",DeVonta,Smith,,WR,PHI,devonta smith,NFFC,28.14,18,43,97,2026-08-31,26.0,True
"Rice, Rashee",Rashee,Rice,,WR,KC,rashee rice,NFFC,28.54,14,48,97,2026-08-31,27.0,True
"McBride, Trey",Trey,McBride,,TE,ARI,trey mcbride,NFFC,28.84,18,43,97,2026-08-31,28.0,True
"Flowers, Zay",Zay,Flowers,,WR,BAL,zay flowers,NFFC,29.78,23,40,97,2026-08-31,29.0,True
"McConkey, Ladd",Ladd,McConkey,,WR,LAC,ladd mcconkey,NFFC,33.33,21,47,97,2026-08-31,30.0,True
"Waddle, Jaylen",Jaylen,Waddle,,WR,DEN,jaylen waddle,NFFC,33.91,25,47,97,2026-08-31,31.0,True
"Williams, Javonte",Javonte,Williams,,RB,DAL,javonte williams,NFFC,34.82,20,51,97,2026-08-31,32.0,True
"Wilson, Garrett",Garrett,Wilson,,WR,NYJ,garrett wilson,NFFC,35.14,28,55,97,2026-08-31,33.0,True
"Allen, Josh",Josh,Allen,,QB,BUF,josh allen,NFFC,35.8,5,62,97,2026-08-31,34.0,True
"Egbuka, Emeka",Emeka,Egbuka,,WR,TB,emeka egbuka,NFFC,36.01,22,52,97,2026-08-31,35.0,True
"Love, Jeremiyah",Jeremiyah,Love,,RB,ARI,jeremiyah love,NFFC,36.99,19,54,97,2026-08-31,36.0,True
"McMillan, Tetairoa",Tetairoa,McMillan,,WR,CAR,tetairoa mcmillan,NFFC,37.11,29,51,97,2026-08-31,37.0,True
"Higgins, Tee",Tee,Higgins,,WR,CIN,tee higgins,NFFC,37.42,25,53,97,2026-08-31,38.0,True
"Williams, Kyren",Kyren,Williams,,RB,LAR,kyren williams,NFFC,37.76,20,52,97,2026-08-31,39.0,True
"Hall, Breece",Breece,Hall,,RB,NYJ,breece hall,NFFC,39.96,21,69,97,2026-08-31,40.0,True
"Moore, DJ",DJ,Moore,,WR,BUF,dj moore,NFFC,41.32,29,55,97,2026-08-31,41.0,True
"Burden III, Luther",Luther,Burden,III,WR,CHI,luther burden,NFFC,42.67,29,71,97,2026-08-31,42.0,True
